molecule,D_e,r_e,mu,alpha
H2,4.7446,0.7416,0.50391,1.440558
LiH,2.515287,1.5956,0.8801221,1.7998368
HCl,4.61907,1.2746,0.9801045,2.38057
CO,11.2256,1.1283,6.8606719,2.59441
ScH,2.25,1.776,0.98604,2.50616688
ScN,4.56,1.768,10.682771,2.6640224
TiH,2.05,1.781,0.987371,2.35818648
VH,2.33,1.719,0.988005,2.4817203
CrH,2.13,1.694,0.988976,2.57791226
NiC,2.76,1.621,9.974265,3.65206437
CuLi,1.74,2.31,6.259494,2.3288958
TiC,2.66,1.79,9.606079,2.730645
ScF,5.85,1.794,13.358942,2.62106988
I2,1.5556,2.662,63.45223502,4.9627666
O2,5.156658828,1.208,7.9974575,0.9999824
